_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,a1,a10,a2,a3,a4,a5,a6,a7,a8,a9,are_there_any_reasonable_activity_matches_in_the_two_process_fragments_shown_above,b1,b10,b2,b3,b4,b5,b6,b7,b8,b9,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,sim1,sim10,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9,are_there_any_reasonable_activity_matches_in_the_two_process_fragments_shown_above_gold,fragmenta,fragmentb,processa,processb,urla,urlb
901433212,3/13/2016 21:59:32,false,1921444803,,3/13/2016 21:57:18,false,neodev,1.0,36230465,FRA,B3,Toulouse,79.143.142.202,Apply Online,None,Apply Online,None,None,None,None,None,None,None,Yes,complete application,None,fill out application form,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,7,,7,,,,,,,,,p82-f1,p84-f1,82,84,http://galvanic-axle-852.appspot.com/static/fragments/p82-f1.png,http://galvanic-axle-852.appspot.com/static/fragments/p84-f1.png
901433212,3/13/2016 22:08:19,false,1921447954,,3/13/2016 22:07:35,false,elite,0.75,36322980,ROU,23,Iasi,79.118.82.242,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,p82-f1,p84-f1,82,84,http://galvanic-axle-852.appspot.com/static/fragments/p82-f1.png,http://galvanic-axle-852.appspot.com/static/fragments/p84-f1.png
901433212,3/13/2016 23:03:49,false,1921465377,,3/13/2016 23:02:32,false,clixsense,1.0,32240545,MEX,31,Mérida,187.166.72.50,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,p82-f1,p84-f1,82,84,http://galvanic-axle-852.appspot.com/static/fragments/p82-f1.png,http://galvanic-axle-852.appspot.com/static/fragments/p84-f1.png
901433213,3/13/2016 11:59:19,false,1921209345,,3/13/2016 11:56:35,false,clixsense,1.0,31815004,IND,25,Chennai,49.207.191.95,Apply Online,None,None,None,None,None,None,None,None,None,Yes,send application,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,p82-f1,p84-f2,82,84,http://galvanic-axle-852.appspot.com/static/fragments/p82-f1.png,http://galvanic-axle-852.appspot.com/static/fragments/p84-f2.png
901433213,3/13/2016 12:08:21,false,1921211343,,3/13/2016 12:05:07,false,clixsense,1.0,22778480,GRC,"","",46.177.197.208,Apply Online,None,Documents received,Check Documents,Check Documents,None,None,None,None,None,Yes,send application,None,receive application,check application complete,check application in time,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,6,,6,5,5,,,,,,,p82-f1,p84-f2,82,84,http://galvanic-axle-852.appspot.com/static/fragments/p82-f1.png,http://galvanic-axle-852.appspot.com/static/fragments/p84-f2.png
901433213,3/13/2016 12:57:03,false,1921224496,,3/13/2016 12:47:05,false,elite,1.0,33479167,ITA,16,Florence,93.151.226.229,Apply Online,None,Apply Online,Apply Online,Apply Online,None,None,None,None,None,No,send application,None,receive application,check application complete,check application in time,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,4,,2,3,3,,,,,,,p82-f1,p84-f2,82,84,http://galvanic-axle-852.appspot.com/static/fragments/p82-f1.png,http://galvanic-axle-852.appspot.com/static/fragments/p84-f2.png
901433214,3/13/2016 15:44:35,false,1921294435,,3/13/2016 15:43:43,false,vivatic,1.0,36147080,GBR,J8,"",128.243.2.146,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,p82-f1,p84-f3,82,84,http://galvanic-axle-852.appspot.com/static/fragments/p82-f1.png,http://galvanic-axle-852.appspot.com/static/fragments/p84-f3.png
901433214,3/13/2016 18:59:28,false,1921378025,,3/13/2016 18:57:55,false,neodev,1.0,33791995,VEN,25,Caracas,186.188.7.244,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,p82-f1,p84-f3,82,84,http://galvanic-axle-852.appspot.com/static/fragments/p82-f1.png,http://galvanic-axle-852.appspot.com/static/fragments/p84-f3.png
901433214,3/13/2016 20:08:15,false,1921401959,,3/13/2016 20:07:47,false,clixsense,1.0,36485987,VEN,25,Caracas,190.198.58.173,None,None,None,None,None,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,,,,,,,,,,,,p82-f1,p84-f3,82,84,http://galvanic-axle-852.appspot.com/static/fragments/p82-f1.png,http://galvanic-axle-852.appspot.com/static/fragments/p84-f3.png
901433215,3/13/2016 13:38:34,false,1921235266,,3/13/2016 13:36:55,false,neodev,0.8,32248046,IND,25,Chennai,163.47.12.216,Check Documents,None,None,None,None,None,None,None,None,None,Yes,document,None,None,None,None,None,None,None,None,None,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,matches exactly,6,,,,,,,,,,,p82-f1,p84-f4,82,84,http://galvanic-axle-852.appspot.com/static/fragments/p82-f1.png,http://galvanic-axle-852.appspot.com/static/fragments/p84-f4.png
