task_id,dataset,proc_id_1,proc_id_2,p_overall,r_overall,f_overall,p_match,r_match,f_match,p_part_of,r_part_of,f_part_of
FT_02,3_judgments_incjdgTRUE_1_votes,82,83,0.203125,0.8125,0.325,0.1,1,0.18181818181818182,0.13333333333333333,0.6666666666666666,0.2222222222222222
FT_02,3_judgments_incjdgTRUE_1_votes,82,84,0.25,0.5833333333333334,0.35000000000000003,0.12,1,0.21428571428571425,0.25,0.5,0.3333333333333333
FT_02,3_judgments_incjdgTRUE_1_votes,83,89,0.1588785046728972,0.8947368421052632,0.2698412698412698,0.12962962962962962,1,0.22950819672131148,0.09722222222222222,0.7777777777777778,0.17283950617283952
FT_02,3_judgments_incjdgTRUE_2_votes,82,83,0.4166666666666667,0.625,0.5,0.15,0.75,0.24999999999999997,0.3333333333333333,0.5,0.4
FT_02,3_judgments_incjdgTRUE_2_votes,82,84,0.65,0.5416666666666666,0.5909090909090908,0.23076923076923078,1,0.375,0.5625,0.45,0.5
FT_02,3_judgments_incjdgTRUE_2_votes,83,89,0.3333333333333333,0.631578947368421,0.4363636363636364,0.2,0.8571428571428571,0.32432432432432434,0.12,0.3333333333333333,0.1764705882352941
FT_02,3_judgments_incjdgTRUE_3_votes,82,83,0.6923076923076923,0.5625,0.6206896551724138,0.23076923076923078,0.75,0.3529411764705882,0.5714285714285714,0.4,0.47058823529411764
FT_02,3_judgments_incjdgTRUE_3_votes,82,84,0.7,0.2916666666666667,0.4117647058823529,0.2857142857142857,0.6666666666666666,0.4,0.625,0.23809523809523808,0.3448275862068965
FT_02,3_judgments_incjdgTRUE_3_votes,83,89,0.5,0.5263157894736842,0.5128205128205129,0.3157894736842105,0.8571428571428571,0.46153846153846156,0.16666666666666666,0.2,0.1818181818181818
