task_id,dataset,proc_id_1,proc_id_2,p_overall,r_overall,f_overall,p_match,r_match,f_match,p_part_of,r_part_of,f_part_of
FT_03,3_judgments_incjdgTRUE_1_votes,82,83,0.45,0.5625,0.5,0.3,0.75,0.4285714285714285,0.09090909090909091,0.14285714285714285,0.1111111111111111
FT_03,3_judgments_incjdgTRUE_1_votes,82,84,0.5454545454545454,0.5,0.5217391304347826,0.125,0.6666666666666666,0.21052631578947367,0.7272727272727273,0.42105263157894735,0.5333333333333333
FT_03,3_judgments_incjdgTRUE_1_votes,83,89,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.42857142857142855,0.8571428571428571,0.5714285714285714,0.18181818181818182,0.2,0.1904761904761905
FT_03,3_judgments_incjdgTRUE_2_votes,82,83,0.6666666666666666,0.375,0.4800000000000001,0.42857142857142855,0.75,0.5454545454545454,0,0,0
FT_03,3_judgments_incjdgTRUE_2_votes,82,84,0.8,0.16666666666666666,0.27586206896551724,0.2,0.3333333333333333,0.25,0.75,0.14285714285714285,0.24
FT_03,3_judgments_incjdgTRUE_2_votes,83,89,0.5294117647058824,0.47368421052631576,0.5,0.46153846153846156,0.8571428571428571,0.6,0.1111111111111111,0.1,0.10526315789473685
FT_03,3_judgments_incjdgTRUE_3_votes,82,83,1,0.1875,0.3157894736842105,0.6666666666666666,0.5,0.5714285714285715,1,0,0
FT_03,3_judgments_incjdgTRUE_3_votes,82,84,0.75,0.125,0.21428571428571427,0.25,0.3333333333333333,0.28571428571428575,0.6666666666666666,0.09523809523809523,0.16666666666666666
FT_03,3_judgments_incjdgTRUE_3_votes,83,89,0.875,0.3684210526315789,0.5185185185185185,0.75,0.8571428571428571,0.7999999999999999,0,0,0
