cfg,sim_thr,tp_overall,fp_overall,fn_overall,tp_match,fp_match,fn_match,tp_part_of,fp_part_of,fn_part_of,p_overall,r_overall,f_overall,p_match,r_match,f_match,p_part_of,r_part_of,f_part_of,use_clean_keywords,remove_spam_keywords,stem_keywords,kw_group_thr,use_union_method
FALSE_FALSE_FALSE_0_TRUE,0,19.666666666666668,310,0,4.666666666666667,310,0,15,310,0,0.060790871532559514,1,0.11429234652069357,0.014399435376174803,1,0.028371050717927056,0.04762463734921362,1,0.09042468997873389,FALSE,FALSE,FALSE,0,TRUE
FALSE_FALSE_FALSE_0_TRUE,0.01,11,28.666666666666668,8.666666666666666,3.6666666666666665,28.666666666666668,1,7.333333333333333,28.666666666666668,7.666666666666667,0.2840739242821221,0.5720029239766082,0.36862334032145355,0.10844854070660521,0.7579365079365079,0.18962148962148961,0.2143265501630124,0.5158730158730158,0.28846311307623024,FALSE,FALSE,FALSE,0,TRUE
FALSE_FALSE_FALSE_0_TRUE,0.02,11,28.666666666666668,8.666666666666666,3.6666666666666665,28.666666666666668,1,7.333333333333333,28.666666666666668,7.666666666666667,0.2840739242821221,0.5720029239766082,0.36862334032145355,0.10844854070660521,0.7579365079365079,0.18962148962148961,0.2143265501630124,0.5158730158730158,0.28846311307623024,FALSE,FALSE,FALSE,0,TRUE
FALSE_FALSE_FALSE_0_TRUE,0.03,11,28.666666666666668,8.666666666666666,3.6666666666666665,28.666666666666668,1,7.333333333333333,28.666666666666668,7.666666666666667,0.2840739242821221,0.5720029239766082,0.36862334032145355,0.10844854070660521,0.7579365079365079,0.18962148962148961,0.2143265501630124,0.5158730158730158,0.28846311307623024,FALSE,FALSE,FALSE,0,TRUE
FALSE_FALSE_FALSE_0_TRUE,0.04,11,28.666666666666668,8.666666666666666,3.6666666666666665,28.666666666666668,1,7.333333333333333,28.666666666666668,7.666666666666667,0.2840739242821221,0.5720029239766082,0.36862334032145355,0.10844854070660521,0.7579365079365079,0.18962148962148961,0.2143265501630124,0.5158730158730158,0.28846311307623024,FALSE,FALSE,FALSE,0,TRUE
FALSE_FALSE_FALSE_0_TRUE,0.05,11,28.666666666666668,8.666666666666666,3.6666666666666665,28.666666666666668,1,7.333333333333333,28.666666666666668,7.666666666666667,0.2840739242821221,0.5720029239766082,0.36862334032145355,0.10844854070660521,0.7579365079365079,0.18962148962148961,0.2143265501630124,0.5158730158730158,0.28846311307623024,FALSE,FALSE,FALSE,0,TRUE
FALSE_FALSE_FALSE_0_TRUE,0.06,11,28.666666666666668,8.666666666666666,3.6666666666666665,28.666666666666668,1,7.333333333333333,28.666666666666668,7.666666666666667,0.2840739242821221,0.5720029239766082,0.36862334032145355,0.10844854070660521,0.7579365079365079,0.18962148962148961,0.2143265501630124,0.5158730158730158,0.28846311307623024,FALSE,FALSE,FALSE,0,TRUE
FALSE_FALSE_FALSE_0_TRUE,0.07,11,28.666666666666668,8.666666666666666,3.6666666666666665,28.666666666666668,1,7.333333333333333,28.666666666666668,7.666666666666667,0.2840739242821221,0.5720029239766082,0.36862334032145355,0.10844854070660521,0.7579365079365079,0.18962148962148961,0.2143265501630124,0.5158730158730158,0.28846311307623024,FALSE,FALSE,FALSE,0,TRUE
FALSE_FALSE_FALSE_0_TRUE,0.08,11,28.666666666666668,8.666666666666666,3.6666666666666665,28.666666666666668,1,7.333333333333333,28.666666666666668,7.666666666666667,0.2840739242821221,0.5720029239766082,0.36862334032145355,0.10844854070660521,0.7579365079365079,0.18962148962148961,0.2143265501630124,0.5158730158730158,0.28846311307623024,FALSE,FALSE,FALSE,0,TRUE
FALSE_FALSE_FALSE_0_TRUE,0.09,11,28.666666666666668,8.666666666666666,3.6666666666666665,28.666666666666668,1,7.333333333333333,28.666666666666668,7.666666666666667,0.2840739242821221,0.5720029239766082,0.36862334032145355,0.10844854070660521,0.7579365079365079,0.18962148962148961,0.2143265501630124,0.5158730158730158,0.28846311307623024,FALSE,FALSE,FALSE,0,TRUE
