task_id,dataset,proc_id_1,proc_id_2,p_overall,r_overall,f_overall,p_match,r_match,f_match,p_part_of,r_part_of,f_part_of
DT_03,3_judgments_incjdgFALSE_1_votes,82,83,0.06302521008403361,0.9375,0.11811023622047244,0.01744186046511628,1,0.03428571428571429,0.052884615384615384,0.9166666666666666,0.09999999999999999
DT_03,3_judgments_incjdgFALSE_1_votes,82,84,0.09829059829059829,0.9583333333333334,0.17829457364341086,0.017964071856287425,1,0.03529411764705882,0.08837209302325581,0.95,0.16170212765957445
DT_03,3_judgments_incjdgFALSE_1_votes,83,82,0.06722689075630252,1,0.12598425196850394,0.021621621621621623,1,0.04232804232804233,0.05581395348837209,1,0.10572687224669602
DT_03,3_judgments_incjdgFALSE_1_votes,83,89,0.05211726384364821,0.8421052631578947,0.09815950920245398,0.0273972602739726,0.8571428571428571,0.05309734513274336,0.02909090909090909,0.8,0.056140350877192984
DT_03,3_judgments_incjdgFALSE_2_votes,82,83,0.08247422680412371,0.5,0.1415929203539823,0.023255813953488372,0.5,0.04444444444444444,0.0625,0.5,0.1111111111111111
DT_03,3_judgments_incjdgFALSE_2_votes,82,84,0.13402061855670103,0.5416666666666666,0.21487603305785125,0.024390243902439025,0.6666666666666666,0.047058823529411764,0.11578947368421053,0.5238095238095238,0.1896551724137931
DT_03,3_judgments_incjdgFALSE_2_votes,83,82,0.08035714285714286,0.5625,0.140625,0.03125,0.75,0.06,0.05454545454545454,0.5,0.09836065573770492
DT_03,3_judgments_incjdgFALSE_2_votes,83,89,0.08148148148148149,0.5789473684210527,0.14285714285714288,0.042735042735042736,0.7142857142857143,0.08064516129032259,0.046153846153846156,0.5,0.08450704225352113
DT_03,3_judgments_incjdgFALSE_3_votes,82,83,0.08,0.125,0.09756097560975609,0,0,0,0.08,0.16666666666666666,0.10810810810810811
DT_03,3_judgments_incjdgFALSE_3_votes,82,84,0.35714285714285715,0.20833333333333334,0.2631578947368421,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.2857142857142857,0.19047619047619047,0.22857142857142854
DT_03,3_judgments_incjdgFALSE_3_votes,83,82,0.2916666666666667,0.4375,0.35000000000000003,0.08695652173913043,0.5,0.14814814814814817,0.20833333333333334,0.4166666666666667,0.2777777777777778
DT_03,3_judgments_incjdgFALSE_3_votes,83,89,0.18518518518518517,0.2631578947368421,0.21739130434782608,0.08,0.2857142857142857,0.125,0.11538461538461539,0.25,0.15789473684210525
DT_03,3_judgments_incjdgTRUE_1_votes,82,83,0.06302521008403361,0.9375,0.11811023622047244,0.01744186046511628,1,0.03428571428571429,0.052884615384615384,0.9166666666666666,0.09999999999999999
DT_03,3_judgments_incjdgTRUE_1_votes,82,84,0.09829059829059829,0.9583333333333334,0.17829457364341086,0.017964071856287425,1,0.03529411764705882,0.08837209302325581,0.95,0.16170212765957445
DT_03,3_judgments_incjdgTRUE_1_votes,83,82,0.06666666666666667,1,0.125,0.021505376344086023,1,0.04210526315789474,0.055299539170506916,1,0.10480349344978167
DT_03,3_judgments_incjdgTRUE_1_votes,83,89,0.05211726384364821,0.8421052631578947,0.09815950920245398,0.0273972602739726,0.8571428571428571,0.05309734513274336,0.02909090909090909,0.8,0.056140350877192984
DT_03,3_judgments_incjdgTRUE_2_votes,82,83,0.08247422680412371,0.5,0.1415929203539823,0.023255813953488372,0.5,0.04444444444444444,0.0625,0.5,0.1111111111111111
DT_03,3_judgments_incjdgTRUE_2_votes,82,84,0.13402061855670103,0.5416666666666666,0.21487603305785125,0.024390243902439025,0.6666666666666666,0.047058823529411764,0.11578947368421053,0.5238095238095238,0.1896551724137931
DT_03,3_judgments_incjdgTRUE_2_votes,83,82,0.07964601769911504,0.5625,0.13953488372093023,0.03125,0.75,0.06,0.05405405405405406,0.5,0.0975609756097561
DT_03,3_judgments_incjdgTRUE_2_votes,83,89,0.08088235294117647,0.5789473684210527,0.14193548387096774,0.0423728813559322,0.7142857142857143,0.08,0.04580152671755725,0.5,0.08391608391608392
DT_03,3_judgments_incjdgTRUE_3_votes,82,83,0.08,0.125,0.09756097560975609,0,0,0,0.08,0.16666666666666666,0.10810810810810811
DT_03,3_judgments_incjdgTRUE_3_votes,82,84,0.35714285714285715,0.20833333333333334,0.2631578947368421,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.2857142857142857,0.19047619047619047,0.22857142857142854
DT_03,3_judgments_incjdgTRUE_3_votes,83,82,0.2916666666666667,0.4375,0.35000000000000003,0.08695652173913043,0.5,0.14814814814814817,0.20833333333333334,0.4166666666666667,0.2777777777777778
DT_03,3_judgments_incjdgTRUE_3_votes,83,89,0.18518518518518517,0.2631578947368421,0.21739130434782608,0.08,0.2857142857142857,0.125,0.11538461538461539,0.25,0.15789473684210525
