task_id,dataset,proc_id_1,proc_id_2,p_overall,r_overall,f_overall,p_match,r_match,f_match,p_part_of,r_part_of,f_part_of
FT_01,3_judgments_incjdgTRUE_1_votes,82,83,0.20588235294117646,0.875,0.33333333333333337,0.08333333333333333,0.75,0.15,0.1951219512195122,0.8888888888888888,0.32
FT_01,3_judgments_incjdgTRUE_1_votes,82,84,0.2236842105263158,0.7083333333333334,0.33999999999999997,0.08,1,0.14814814814814814,0.2222222222222222,0.631578947368421,0.3287671232876712
FT_01,3_judgments_incjdgTRUE_1_votes,83,89,0.15151515151515152,0.7894736842105263,0.2542372881355932,0.12,0.8571428571428571,0.21052631578947367,0.06060606060606061,0.5714285714285714,0.10958904109589043
FT_01,3_judgments_incjdgTRUE_2_votes,82,83,0.4166666666666667,0.625,0.5,0.15,0.75,0.24999999999999997,0.26666666666666666,0.4444444444444444,0.33333333333333337
FT_01,3_judgments_incjdgTRUE_2_votes,82,84,0.5263157894736842,0.4166666666666667,0.46511627906976744,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.4117647058823529,0.35,0.37837837837837834
FT_01,3_judgments_incjdgTRUE_2_votes,83,89,0.30952380952380953,0.6842105263157895,0.42622950819672134,0.16216216216216217,0.8571428571428571,0.27272727272727276,0.11538461538461539,0.375,0.1764705882352941
FT_01,3_judgments_incjdgTRUE_3_votes,82,83,0.5882352941176471,0.625,0.6060606060606061,0.21428571428571427,0.75,0.3333333333333333,0.36363636363636365,0.4444444444444444,0.39999999999999997
FT_01,3_judgments_incjdgTRUE_3_votes,82,84,0.75,0.375,0.5,0.25,0.6666666666666666,0.36363636363636365,0.6,0.3,0.4
FT_01,3_judgments_incjdgTRUE_3_votes,83,89,0.45454545454545453,0.5263157894736842,0.4878048780487805,0.2857142857142857,0.8571428571428571,0.42857142857142855,0,0,0
